;meta[language=en]
; id      |key(hex)|key(str)| text
;
; rename this file to mod<YOUR MODNAME>.speech.csv and
; add all strings for custom voicelines like the example line below.
;
; make sure the XXXX is the string id-space of the project and nnn is unique
; for every line.
;
;211XXXXnnn|||example voiceline text
;
2114670650|||I need some fresh air.
2114670651|||A letter… Who's using an owl for this?
2114670652|00000000||Regis… Just trying to avoid a fight, to protect her.
2114670653|00000000||Well, I should check an orphanage in a swamp. Last time Orianna was there.
2114670654|00000000||Go home. I'm a witcher. Need to examine the body.
2114670655|00000000||Woman turned back here.
2114670656|00000000||Think she was looking for Regis. But he left.
2114670657|00000000||Fishermen should know something.
2114670658|00000000||Tracks lead to this house.
2114670659|00000000||House looks inhabited… No sign of the dweller, though. Guess I'll look around.
2114670660|00000000||Interesting… Regis might be right.
2114670661|00000000||I'll wait her outside.
;
2114670700|||Triss?! I should talk to her.
2114670705|||I've been thinking about us.
2114670706|||I'm looking for…
2114670707|||I'm not Yennefer, Geralt. But I can be like Yennefer!
2114670708|||So, what do you think?
2114670709|||You don't like me..
2114670710|||You realize - one word and you'll howl with pain!
2114670711|||I'm your nightmare!
2114670727|||Geralt, please…
2114670728|||Show me your face.
2114670729|||I must be out of my mind… Vesemir!
2114670730|||I warned you. Pissing upwind leads to disaster.
2114670731|||This time you pissed in a tornado.
2114670732|||Do anything stupid and they'll tie you down on an anthill, face coated with honey. You'll scream so loud even the storm riders will hear you.
2114670733|||Are you ghosts?
2114670734|||I'm sorry, my friend…
2114670735|||You wish to give your soul for this?
2114670736|||Then you don't have what I need.
2114670737|||Is it your doing?
2114670738|||So you say, yet I wait and wait, and nothing…
2114670739|||Fuck you!
2114670740|||Death mistake.
2114670745|||Crazy nightmare.
;
; scene 11 orphanage main
;
2114670755|00000000||A witcher
2114670756|00000000||Just a traveler
2114670757|00000000||Vampire of Rivia
2114670758|00000000||It's a deal
2114670759|00000000||Why are you interested in children?
2114670760|00000000||I'll ask again, polite like, and you'll answer, just as politely
2114670761|00000000||Orianna will kill you
2114670762|00000000||Who the foek are you?!
2114670763|00000000||Me? Drifter, stranger, mutant… Sometimes even by my name. Vampire of Rivia.
2114670764|00000000||Very funny, you're cretin…
;    393630|00000000||Just a traveler. Happened to be passing through.
2114670765|00000000||Just a traveler you say… And that's just two swords on your back? Looks like you can swing them as well.
;   1094310|00000000||Geralt of Rivia. Witcher.
2114670766|00000000||A witcher? So you know how to track down somebody, right?
2114670767|00000000||Well, come in then, we've matters to discuss.
2114670768|00000000||I suppose to find a red-haired woman here.
2114670769|00000000||That's interesting. Because we're supposed to meet her too.
2114670770|00000000||Why are you looking for her?
2114670771|00000000||Our boss has questions for 'er about the orphanage and children.
2114670772|00000000||The orphanage was attacked and almost none of the children survived.
2114670773|00000000||Almost - nice word, so someone is alive. And we know for sure that Orianna herself is alive too.
2114670774|00000000||But she doesn't want to come here. So there's something wrong with here. We are few, and we guard the places where she used to be.
2114670783|00000000||Perhaps you could help us, and then our leader Baron Edward will give you a decent reward.
2114670775|00000000||Why are you interested in children?
2114670776|00000000||It's no concern of yours.
2114670777|00000000||Orianna will kill you. She is a monster, not a human. And only I can help. Meaning I need more information.
2114670778|00000000||I've not got all the answers, talk with our leader about it.
;   1117735|00000000||I'll ask again, polite like, and you'll answer, just as politely.
2114670779|00000000||Would ya look at that lads, vagrant mutt's givin' us orders. Needs to know 'is place… Fuck 'im up!
;2114670780|00000000||Three against one - you're dead already.
2114670781|00000000||It's a deal. Where can I find him?
2114670782|00000000||We have pitched camp on the banks of the lake known as Seidhe Llygad, near an ancient amphitheater.
;   1003998|00000000||See what I can do.
;
; scene 12 orphanage loose
;
2114670790|00000000||Hahaha, shove off, vargant!
2114670791|00000000||If you decide to help - our camp is on the banks of the lake known as Seidhe Llygad, near an ancient amphitheater.
;   1000528|00000000||Dammit…
;
; scene 13 orphanage gp
;
2114670795|00000000||Interesting. Son of a bandit in the vampire's claws…
2114670796|00000000||What's with the mutterin'? Go and talk with the Baron.
;
; scene 14 orphanage win
;
;   1195382|00000000||Argh!
2114670800|00000000||Gonna answer me?
2114670801|00000000||Baron won't be happy… Alright, I'll tell you what I know.
2114670802|00000000||Years ago our leader, Baron Edward, visited Toussaint, where he met a beautiful lass.
2114670803|00000000||And a wee boy was born to them.
2114670804|00000000||The Baron went with us to the far lands, where we were culled by battalions of Nilfs.
2114670805|00000000||Well, I can't say that the Baron liked that girl much, as he left her here. However he recently said we must visit Toussaint again.
2114670806|00000000||We came here and found out that she had died of some illness about a year ago. And the boy was sent to an orphanage, to this Orianna.
2114670807|00000000||But we didn't manage to find neither the boy nor Orianna.
2114670808|00000000||Since that vampire attack the orphanage has been abandoned… All that remains now is a mess and a pile children's corpses.
2114670809|00000000||The Baron was quite upset. But then we learned that Orianna is alive and in perfect health - people saw her in the city with the wee boy.
2114670810|00000000||The Baron is certain that this is his son, and very much wants to find this woman. However she is… elusive, everyone knows her, but where she is - noone seems to know.
2114670811|00000000||So we divided into groups and now watching for places where she may appear.
2114670812|00000000||To be honest, I'm well tired of sittin' around here waitin'… So if you could find a way to help us, it'd be well appreciated!
2114670813|00000000||I see it now. It's a deal.
2114670814|00000000||Then you should talk to the Baron.
;    499337|00000000||Where can I find him?
;2114670815|00000000||We have pitched camp on the banks of the lake known as Seidhe Llygad, near an ancient amphitheater.
;   1003998|00000000||See what I can do.
;
; scene 16 - baron meeting
;
2114670870|00000000||Let's talk about my fee
2114670871|00000000||I will make it for free
2114670872|00000000||I don't work for bandits
2114670873|00000000||Why do you wanna take the child?
2114670874|00000000||I agree
2114670875|00000000||I don't agree
;    393630|00000000||Just a traveler. Happened to be passing through.
2114670877|00000000||Piss off, vagrant. Nothing for you here.
2114670878|00000000||Halt! What are you looking for?
2114670879|00000000||I'm a witcher. Your friends send me here. Gotta deal with Baron.
2114670880|00000000||Good. The Baron is in Beauclair at the moment, be back soon. Wait a little here.
2114670881|00000000||Greetings, Baron! Any news? Where is Alfred?
2114670882|00000000||He is dead. Orianna killed him.
2114670883|00000000||What?! How? Did you find her?
2114670884|00000000||She is not just a woman… Maybe witch or monster. I can't understand what happened myself.
2114670885|00000000||And who are.. Witcher! It must be destiny sent you to us.
2114670886|00000000||Actually it was your friends. My name is Geralt.
2114670887|00000000||The famous Geralt of Rivia?
2114670888|00000000||Great. My name is Edward and I am the leader of…
;   1075517|00000000||Bandits?
;2114670889|00000000||Don't be so conservative. We do not rob and kill peaceful merchants.
2114670890|00000000||I don't believe it. However I'm here about Orianna.
2114670891|00000000||Yeah. This whore refused to return my son and killed Alfred.
2114670892|00000000||As she is some kind of monster and you are witcher… Could you find and exterminate her? For a fee of course.
2114670893|00000000||Why do you wanna take the child?
2114670894|00000000||I believe that he is my son and I want to raise him.
2114670895|00000000||I don't work for bandits.
2114670896|00000000||Did you seriously wait for me to say this? Think twice - I'll reward you generously.
